AA00001,"データを読み込んでから実施してください。"
CD20008,"振込元銀行名が不正です。"
CD20009,"振込元支店名が不正です。"
CD20010,"振込先銀行コードが不正です。"
CD20011,"振込先支店コードが不正です。"
CD20012,"振込先銀行口座名(ＦＢ）が不正です。"
CD20013,"振込先銀行名が不正です。"
CD20014,"振込先支店名が不正です。"
CD20015,"振込元口座管理コードが銀行口座管理マスタに複数存在します。"
CD20016,"前回処理日が未来の日付になっています。"
CD20017,"会社コードのパラメータが未入力です。"
CD20018,"実行処理区分のパラメータが未入力です。"
CD20019,"実行処理区分のパラメータが不正です。"
CD20020,"支払日のパラメータが未入力です。"
CD20021,"支払日のパラメータが不正です。"
CD20022,"前回処理日のパラメータが未入力です。"
CD20023,"前回処理日のパラメータが不正です。"
CD20024,"FBデータパスの取得に失敗しました。"
AK20001,"出荷期限切れ移動先保管区は存在しません。"
AK20002,"賞味期限切れ移動先保管区は存在しません。"
AS00001,"レベル番号更新処理を開始しました。"
AS00002,"レベル番号更新処理を終了しました。"
AS00003,"製造オーダ情報変換処理を開始しました。"
AS00004,"製造オーダ情報変換処理を終了しました。"
AS00005,"在庫情報変換処理を開始しました。"
AS00006,"在庫情報変換処理を終了しました。"
AS00007,"Asprova起動処理を開始しました。"
AS00008,"Asprova起動処理を終了しました。"
AS00009,"所要量情報変換処理を開始しました。"
AS00010,"所要量情報変換処理を終了しました。"
AS00011,"オーダ間引当情報変換処理を開始しました。"
AS00012,"オーダ間引当情報変換処理を終了しました。"
AS00013,"所要量アラーム追加処理を開始しました。"
AS00014,"所要量アラーム追加処理を終了しました。"
AS00015,"生産計画日時の時刻は3桁もしくは4桁の数字で指定してください。"
AS00016,"生産計画日時の時刻が不正です。"
AS00017,"製番納期の時刻は3桁もしくは4桁で指定してください。"
AS00018,"製番納期の時刻が不正です。"
AS00019,"時刻は3桁もしくは4桁の数値を指定してください。"
AS00020,"時刻が不正です。"
AS00021,"要求納期(From)の時刻を設定する場合は、年月日も指定してください。"
AS00022,"要求納期(To)の時刻を設定する場合は、年月日も指定してください。"
AS00023,"要求納期(From)の時刻は3桁もしくは4桁の数値を指定してください。"
AS00024,"要求納期(To)の時刻は3桁もしくは4桁の数値を指定してください。"
AS00025,"要求納期(From)の時刻が不正です。"
AS00026,"要求納期(To)の時刻が不正です。"
AS00027,"製造納期の時刻は3桁もしくは4桁の数値を指定してください。"
AS00028,"製造納期の時刻が不正です。"
AS00029,"製造着手日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00030,"製造着手日の時刻が不正です。"
AS00031,"手配着手日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00032,"手配着手日の時刻が不正です。"
AS00033,"製造着手日の時刻を設定する場合は、年月日も指定してください。"
AS00034,"品目別製造納期の時刻は3桁もしくは4桁の数値を指定してください。"
AS00035,"品目別製造納期の時刻が不正です。"
AS00036,"品目別製造着手日の時刻を設定する場合は、年月日も指定してください。"
AS00037,"品目別製造着手日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00038,"品目別製造着手日の時刻が不正です。"
AS00039,"系列別製造納期の時刻には3桁もしくは4桁の数値を指定してください。"
AS00040,"系列別製造納期の時刻が不正です。"
AS00041,"系列別製造着手日の時刻には3桁もしくは4桁の数値を指定してください。"
AS00042,"系列別製造着手日の時刻が不正です。"
AS00043,"作業日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00044,"作業日の時刻が不正です。"
AS00045,"使用日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00046,"使用日の時刻が不正です。"
AS00047,"作業系列別着手日の時刻は3桁もしくは4桁の数値を指定してください。"
AS00048,"作業系列別着手日の時刻が不正です。"
AS00049,"作業系列別納期の時刻は3桁もしくは4桁の数値を指定してください。"
AS00050,"作業系列別納期の時刻が不正です。"
AS00051,"製造着手日(From)の時刻を設定する場合は、年月日も指定してください。"
AS00052,"製造着手日(To)の時刻を設定する場合は、年月日も指定してください。"
AS00053,"製造納期(From)の時刻を設定する場合は、年月日も指定してください。"
AS00054,"製造納期(To)の時刻を設定する場合は、年月日も指定してください。"
AS00055,"製造着手日(From)の時刻には3桁もしくは4桁の数値を指定してください。"
AS00056,"製造着手日(To)の時刻には3桁もしくは4桁の数値を指定してください。"
AS00057,"製造納期(From)の時刻には3桁もしくは4桁の数値を指定してください。"
AS00058,"製造納期(To)の時刻には3桁もしくは4桁の数値を指定してください。"
AS00059,"製造着手日(From)の時刻が不正です。"
AS00060,"製造着手日(To)の時刻が不正です。"
AS00061,"製造納期(From)の時刻が不正です。"
AS00062,"製造納期(To)の時刻が不正です。"
AS00063,"出庫予定日（From）の時刻設定する場合は、年月日も指定してください。"
AS00064,"出庫予定日（To）の時刻設定する場合は、年月日も指定してください。"
AS00065,"出庫予定日（From）の時刻には3桁もしくは4桁の数値を指定してください。"
AS00066,"出庫予定日（To）の時刻には3桁もしくは4桁の数値を指定してください。"
AS00067,"出庫予定日（From）の時刻が不正です。"
AS00068,"出庫予定日（To）の時刻が不正です。"
AS00069,"納期(From)の時刻を設定する場合は、年月日も指定してください。"
AS00070,"納期(To)の時刻を設定する場合は、年月日も指定してください。"
AS00071,"着手日(From)の時刻を設定する場合は、年月日も指定してください。"
AS00072,"着手日(To)の時刻を設定する場合は、年月日も指定してください。"
AS00073,"納期(From)の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00074,"納期(To)の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00075,"着手日(From)の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00076,"着手日(To)の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00077,"納期(From)の時刻が不正です。"
AS00078,"納期(To)の時刻が不正です。"
AS00079,"着手日(From)の時刻が不正です。"
AS00080,"着手日(To)の時刻が不正です。"
AS00081,"納期の大小関係が不正です。"
AS00082,"着手日の大小関係が不正です。"
AS00083,"指定した日時のデータがすでに存在します。"
AS00086,"シフトコードがシフトマスタに存在しません｡"
AS00087,"シフトパターン１（From)が入力されていません。"
AS00088,"シフトパターン１（To)が入力されていません。"
AS00089,"シフトパターン２（From)が入力されていません。"
AS00090,"シフトパターン２（To)が入力されていません。"
AS00091,"シフトパターン３（From)が入力されていません。"
AS00092,"シフトパターン３（To)が入力されていません。"
AS00093,"入力された数値の大小関係が不正です。"
AS00094,"Asprovaでエラーが発生しました。"
AS00095,"シフトパターンの時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00096,"シフトパターンの時刻が不正です。"
AS00097,"製造オーダ情報変換処理が異常終了しました。"
AS00098,"在庫情報変換処理が異常終了しました。"
AS00099,"Asprova起動処理が異常終了しました。"
AS00100,"所要量情報変換処理が異常終了しました。"
AS00101,"オーダ間引当情報変換処理が異常終了しました。"
AS00102,"所要量アラーム追加処理が異常終了しました。"
AS00103,"発注予定日の時刻を設定する場合は、年月日も指定してください。"
AS00104,"発注納期の時刻を設定する場合は、年月日も指定してください。"
AS00105,"発注予定日の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00106,"発注納期の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00107,"発注予定日の時刻が不正です。"
AS00108,"発注納期の時刻が不正です。"
AS00109,"出庫予定日の時刻を設定する場合は、年月日も指定してください。"
AS00110,"出庫予定日の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00111,"出庫予定日の時刻が不正です。"
AS00112,"取引先回答納期の時刻を設定する場合は、年月日も指定してください。"
AS00113,"取引先回答納期の時刻を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00114,"取引先回答納期の時刻が不正です。"
AS00115,"まとめ開始時間を設定する場合は、3桁もしくは4桁の数字で指定してください。"
AS00116,"まとめ開始時間の時刻が不正です。"
AS00117,"指定している品目手配区分のとき、安全在庫量に0より大きい値を指定してください。"
AS00118,"シフトコードがカレンダーマスタに存在するので削除できません｡"
AS00119,"最小手配数は、最大手配数より小さい値を指定してください。"
AS00120,"生産計画期間(To)の時刻は3桁もしくは4桁の数値を指定してください。"
AS00121,"生産計画期間(From)の時刻が不正です。"
AS00122,"生産計画期間(To)の時刻が不正です。"
AS00123,"生産計画期間(From)の時刻は3桁もしくは4桁の数値を指定してください。"
AS00124,"工場コード{0}が存在しません。"
AS00125,"処理を中止しました。"
AS00127,"工場コードが重複している行が存在します。"
ZZ01001,"業務ロックされているため起動できません。"
ZZ01002,"この画面の実行権限がありません。"
ZZ01003,"この機能の実行権限がありません。"
ZZ01004,"業務ロックの解除に失敗しました。"
ZZ01005,"システムログの初期化に失敗しました。"
ZZ01006,"{0}"
ZZ01007,"{0}のユーザ{1}が{2}を{3}から実行中です。"
ZZ01008,"業務ロックの開始に失敗しました。"
ZZ01101,"指定キーのデータが存在しません。"
ZZ01102,"指定キーのデータがすでに存在します。"
ZZ01103,"参照制約に違反しています。"
ZZ01104,"必須項目が入力されていません。"
ZZ01105,"他の処理によりデータが書き換えられています。メニューに戻ってやり直して下さい。"
ZZ01106,"サーバでエラーが発生しました。"
ZZ01107,"CSV用データ作成時にエラーが発生しました。"
ZZ01108,"帳票用データ作成時にエラーが発生しました。"
ZZ01110,"サーバの応答を待っています。しばらくお待ちください。"
ZZ01111,"キー値が変更されているためこの操作はできません。"
ZZ01112,"業務を終了しますか ?"
ZZ01113,"これまでの編集を破棄しますか ?"
ZZ01114,"読込を行っていないため この操作はできません。"
ZZ01115,"表示件数が規定値({0})を超えています。条件を変更してやり直してください。"
ZZ01116,"選択リスト({0})の作成に失敗しました。"
ZZ01117,"キャンセルをクリックせずに移動を続行すると、業務ロックが残ってしまいます。"
ZZ01118,"最大表示行数（{0}行）を超えたため、{0}行まで表示します。"
ZZ01119,"表示件数が規定値({0})を超えています。最大表示行数の変更を行って下さい。"
ZZ01120,"最大表示レベル({0})に達しました。この配下の構成は表示できません。"
ZZ02011,"会社コードにnullは設定できません。"
ZZ02012,"取引先コードにnullは設定できません。"
ZZ02013,"レート判定日にnullは設定できません。"
ZZ02014,"変換前金額にnullは設定できません。"
ZZ02015,"変換方向の値が不正です。"
ZZ02021,"該当レコードが取引先マスタに存在しません。"
ZZ02022,"該当レコードが邦貨に存在しません。"
ZZ02023,"該当レコードが通貨に存在しません。"
ZZ02024,"該当レコードが為替レートマスタに存在しません。"
ZZ02025,"該当レコードが品目に存在しません。"
ZZ02026,"該当レコードが消費税区分マスタに存在しません。"
ZZ02027,"該当レコードが自社に存在しません。"
ZZ02028,"該当レコードが日付制御に存在しません。"
ZZ02029,"該当レコードが税名に存在しません。"
ZZ02031,"為替予約コードがnullです。(為替種別=2)"
ZZ05001,"整数を入力してください。"
ZZ05002,"数値を入力してください。"
ZZ05004,"文字列を入力してください。"
ZZ05005,"半角文字を入力してください。"
ZZ05006,"全角文字を入力してください。"
ZZ05007,"YYYY/MM/DDの日付形式で入力してください。"
ZZ05008,"YYYY(４桁西暦)を入力してください。"
ZZ05009,"MM（２桁月）を入力してください。"
ZZ05010,"DD（２桁日）を入力してください。"
ZZ05101,"対象期間の指定が不正です。"
ZZ05102,"過去の日付は指定できません。"
ZZ05103,"未来の日付は指定できません。"
ZZ05104,"キーは省略できません。"
ZZ05105,"値が不正です。"
ZZ05106,"入力必須項目が入力されていません。"
ZZ05107,"行が選択されていません。"
ZZ05108,"値が重複しています。"
ZZ05109,"桁数が不正です。"
ZZ06001,"対象データが存在しません。"
ZZ06002,"カレンダ明細データが存在しません。"
ZZ07001,"データをDB登録します。よろしいですか？"
ZZ07002,"キーはシステムが自動で採番してDB登録します。よろしいですか？"
ZZ07003,"データをDB更新します。よろしいですか？"
ZZ07004,"データをDB削除します。よろしいですか？"
ZZ07005,"データを登録します。よろしいですか？"
ZZ07006,"データを更新します。よろしいですか？"
ZZ07007,"データを削除します。よろしいですか？"
ZZ07008,"編集内容をクリアします。よろしいですか？"
ZZ07009,"実行します。よろしいですか？"
ZZ07010,"バッチ処理を実行します。よろしいですか？"
ZZ07011,"CSV出力処理を実行します。よろしいですか？"
ZZ07012,"帳票出力処理を実行します。よろしいですか？"
ZZ07013,"親画面に戻ります。よろしいですか？"
ZZ07014,"この表で定義されている全てのデータをDB削除します。よろしいですか？"
ZZ07015,"CSV取込処理を実行します。よろしいですか？"
ZZ07016,"削除を取り消します。よろしいですか？"
ZZ09001,"バッチ処理を開始しました。"
ZZ09002,"バッチ処理を終了しました。"
ZZ09003,"ユーザコードのパラメータが未入力です。"
ZZ09004,"業務名のパラメータが未入力です。"
ZZ09006,"採番番号の桁数があふれました。"
ZZ09007,"バッチパラメータの読込に失敗しました。"
ZZ09008,"バッチ終了メッセージの送信に失敗しました。"
ZZ09009,"バッチ処理を開始できませんでした。"
ZZ09010,"システム既定値ファイルからの情報取得に失敗しました。(ＪＶＭパス)"
ZZ09011,"システム既定値ファイルからの情報取得に失敗しました。(バッチ起動設定)"
ZZ09012,"システム既定値ファイルからの情報取得に失敗しました。(クラスパス設定)"
ZZ09013,"バッチ処理を起動しました。"
ZZ09014,"バッチ処理に失敗しました。"
ZZ09015,"バッチ処理を起動しました。"
ZZ09016,"バッチの呼び出しに失敗しました。"
ZZ09020,"取消してもよろしいですか？"
ZZ09021,"返品してもよろしいですか？"
ZZ09022,"バッチ処理引数の形式が不正です。"
ZZ09023,"バッチ処理区分のパラメータが未入力です。"
ZZ09024,"バッチ処理区分のパラメータが不正です。"
ZZ09025,"ユーザコードのパラメータが未入力です。"
ZZ09026,"ユーザコードがユーザマスタに存在しません。"
ZZ09027,"工場コードのパラメータが未入力です。"
ZZ09028,"工場コードが工場に存在しません。"
ZZ09029,"業務IDのパラメータが未入力です。"
ZZ09030,"バッチパラメータの取得に失敗しました。"
ZZ09031,"システム既定値ファイルからの情報取得に失敗しました。(ＭＲＰログ出力モード)"
ZZ09032,"ＭＲＰログ出力モードが不正です。"
ZZ09033,"システム既定値ファイルからの情報取得に失敗しました。(バッチログ出力モード)"
ZZ09034,"バッチログ出力モードが不正です。"
ZZ09035,"システム既定値ファイルからの情報取得に失敗しました。(PLSQLログ出力モード)"
ZZ09036,"PLSQLログ出力モードが不正です。"
ZZ11001,"工場が存在しません。"
ZZ11002,"品目が存在しません。"
ZZ11003,"通貨が存在しません。"
ZZ11004,"消費税区分マスタが存在しません。"
ZZ11005,"取引先マスタが存在しません。"
ZZ11006,"保管区が存在しません。"
ZZ11007,"作業区が存在しません。"
ZZ11008,"得意先マスタが存在しません。"
ZZ11009,"得意先品目番号が存在しません。"
ZZ11010,"部門が存在しません。"
ZZ12001,"製品構成が存在しません。"
ZZ12002,"支給単価が存在しません。"
ZZ12003,"購入単価が存在しません。"
ZZ12004,"外注単価が存在しません。"
AA23001,"品目を変えて登録が選択時、コピー先品目番号は必須入力になります。"
AA23002,"コピー先レベルには1以上の値を入力してください。"
AA23003,"パターン別製品構成の登録に失敗しました。"
AA23004,"製品構成の登録に失敗しました。"
AA23005,"製品構成トランザクションの登録に失敗しました。"
AA23006,"パターン別作業系列の登録に失敗しました。"
AA23007,"作業系列の登録に失敗しました。"
AA23008,"パターン別払出情報の登録に失敗しました。"
AA23009,"払出情報の登録に失敗しました。"
AA23010,"コピー先品目番号が品目マスタに存在しません。"
AA20201,"パターン指定時にパターンコードは必須項目です。"
KU20040,"出荷実績ロット明細作成部品の入力パラメータの出荷納品伝票番号は必須項目です。"
KU20041,"出荷実績ロット明細作成部品の入力パラメータの出荷納品伝票明細番号は必須項目です。"
KU20042,"出荷実績ロット明細作成部品の入力パラメータの出荷倉庫コードは必須項目です。"
KU20043,"出荷実績ロット明細作成部品の入力パラメータの品目番号は必須項目です。"
KU20044,"出荷実績ロット明細作成部品の入力パラメータの在庫ロット番号は必須項目です。"
KU20046,"出荷実績ロット明細作成部品の入力パラメータのロット別出荷実績数量は必須項目です。"
KU20047,"出荷実績ロット明細作成部品の入力パラメータの更新区分は必須項目です。"
KU20048,"出荷実績ロット明細作成部品の入力パラメータ更新区分の値が不正です。"
KU20049,"出荷実績ロット明細作成部品の入力パラメータ元出荷納品伝票番号は必須です。"
KU20050,"出荷実績ロット明細作成部品の入力パラメータ元出荷納品伝票明細番号は必須です。"
KU20051,"出荷実績ロット明細作成部品の入力パラメータ元在庫ロット番号は必須です。"
KU20052,"出荷実績成部品の入力パラメータの会社コードは必須項目です。"
KU20053,"出荷実績作成部品の入力パラメータの出荷納品伝票番号は必須項目です。"
KU20054,"出荷実績作成部品の入力パラメータの出荷納品伝票明細番号は必須項目です。"
KU20055,"出荷実績作成部品の入力パラメータの品目番号は必須項目です。"
KU20056,"出荷実績作成部品の入力パラメータの得意先コードは必須項目です。"
KU20057,"出荷実績作成部品の入力パラメータの単価は必須項目です。"
KU20058,"出荷実績作成部品の入力パラメータの処理区分は必須項目です。"
KU20059,"出荷実績作成部品の入力パラメータの処理区分の値が不正です。"
KU20060,"出荷実績作成部品の入力パラメータの更新区分は必須項目です。"
KU20061,"出荷実績作成部品の入力パラメータ更新区分の値が不正です。"
KU20062,"出荷実績作成部品の入力パラメータ元出荷納品伝票番号は必須です。"
KU20063,"出荷実績ロット明細作成部品の入力パラメータ元出荷納品伝票明細番号は必須です。"
KU20064,"出荷実績ヘッダ成部品の入力パラメータの会社コードは必須項目です。"
KU20065,"出荷実績ヘッダ作成部品の入力パラメータの出荷納品伝票番号は必須項目です。"
KU20066,"出荷実績ヘッダ作成部品の入力パラメータの得意先コードは必須項目です。"
KU20067,"出荷実績ヘッダ作成部品の入力パラメータの請求先コードは必須項目です。"
KU20068,"出荷実績ヘッダ作成部品の入力パラメータの納品場所コードは必須項目です。"
KU20069,"出荷実績ヘッダ作成部品の入力パラメータの出荷倉庫コードは必須項目です。"
KU20070,"出荷実績ヘッダ作成部品の入力パラメータの売上計上部門コードは必須項目です。"
KU20071,"出荷実績ヘッダ作成部品の入力パラメータの営業担当者コードは必須項目です。"
KU20072,"出荷実績ヘッダ作成部品の入力パラメータの出荷実績日は必須項目です。"
KU20073,"出荷実績ヘッダ作成部品の入力パラメータの更新区分は必須項目です。"
KU20074,"出荷実績ヘッダ作成部品の入力パラメータ更新区分の値が不正です。"
KU20075,"出荷実績ヘッダ作成部品の入力パラメータ元出荷納品伝票番号は必須です。"
KU20076,"出荷実績ロット明細作成部品の入力パラメータの会社コードは必須項目です。"
KU20077,"出荷実績ロット明細作成処理に失敗しました。"
KU20078,"出荷実績ロット明細作成部品の入力パラメータの出荷単位は必須項目です。"
KU20079,"出荷実績ロット明細作成部品の入力パラメータの計量単位は必須項目です。"
KU20080,"品目が存在しません。"
KU20081,"選択された単位は使用できません。"
KU20082,"返品数量には0以上の数値を入力して下さい。"
KU20083,"登録/更新を行う明細がありません。"
KU20084,"同一の品目番号、在庫ロット番号が明細に存在しています。"
KU20085,"得意先コードがマスタに存在しません。"
KU20086,"納品先コードがマスタに存在しません。"
KU20087,"請求先コードがに存在しません。"
KU20088,"営業担当者コードがユーザマスタに存在しません。"
KU20089,"売上計上部門コードが部門マスタに存在しません。"
KU20090,"他の処理によりデータが書き換えられています。再読込を行ってください。。"
KU20091,"製品が存在しません。"
KU20092,"出荷実績作成部品の入力パラメータの得意先出荷実績数量は必須項目です。"
KU20093,"出荷実績作成部品の入力パラメータの出荷実績数量は必須項目です。"
KU20094,"出荷実績作成部品の入力パラメータの出荷単位は必須項目です。"
KU20095,"出荷実績作成部品の入力パラメータの計量単位は必須項目です。"
KU20096,"出荷実績作成部品の入力パラメータの出荷実績日コードは必須項目です。"
KU20097,"出荷実績ロット明細作成部品の入力パラメータ出荷実績日は必須です。"
KU20098,"返品倉庫コードが保管区に存在しません。"
KU20099,"出荷実績ロット明細の作成に失敗しました。"
KU20100,"出荷実績ヘッダの作成に失敗しました。"
AH60009,"棚卸条件に該当するデータがロット別品目在庫に存在しませんでした。"
AH60006,"指定した品目は非ロット管理品目です。"
AH60007,"在庫ロット番号が入力されていません。"
AH60008,"在庫ロット番号がロット管理マスタに登録されていません。"
ZZ20001,"在庫数が不足のため、出庫処理が中断しました。出庫指示番号:{0}"
AH50812,"ロット別品目在庫更新開始"
AH50813,"ロット別品目在庫更新終了"
AH50814,"ロット別品目在庫の更新でエラーが発生しました。"
KU20101,"出荷返品情報を登録しました。"
KU20102,"出荷返品情報を更新しました。"
KU20103,"出荷返品情報を削除しました。"
KU20104,"返品実績日が業務運用日より未来です。"
KU20105,"返品実績日に出荷実績日より過去は入力できません。"
KU20106,"返品実績日が前月以前です。よろしいですか？"
AH60010,"ロット管理品目の場合、実棚数には0以上の数値を入力して下さい。"
AH60011,"入力された在庫ロット番号は賞味期限切れとなっています。"
KU02015,"指定保管区の在庫がマイナスになりました。"
ZZ13001,"有効開始日のパラメータが不正です。"
ZZ13002,"有効終了日のパラメータが不正です。"
AA02011,"支給単価の取引先に指定があるため削除できません。"
CC00023,"売掛金自動相殺で入金データが作成されています。支払い締めキャンセルはできません。"
AA20054,"指定した部門コードは未登録です。"
KA20034,"販売管理初期処理部品の入力パラメータのユーザコードは必須項目です。"
KA20035,"ユーザコードが存在しません"
KA20036,"部門コードが存在しません。"
KA20037,"販売管理用工場コードの取得に失敗しました。"
KA20038,"業務日付の取得に失敗しました。"
KA20039,"邦貨コードの取得に失敗しました。"
KA20040,"販売管理初期処理で失敗しました。"
KF20039,"入力された得意先コードが得意先に存在しません。"
KF20040,"入力された部門コードが部門に存在しません。"
KF20041,"入力された部門コードが部門別出荷元優先順位に存在しません。"
KF20042,"入力された出荷倉庫コードが保管区に存在しません。"
KF20043,"入力された部門コード・出荷倉庫コードが部門別出荷元優先順位に存在しません。"
KF20044,"入力された品目番号が品目に存在しません。"
KF20045,"賞味期限の大小関係が不正です。"
KQ20054,"条件に一致する出荷便使用区分が得意先に存在しません。"
KQ20055,"条件に一致する運送日数と運送便コードが得意先納品場所に存在しません。"
KQ20056,"条件に一致するセットリードタイムが品目に存在しません。"
KQ20057,"仮ロットで引当られています。引当解除処理を行ってください。"
KQ20058,"仮引当ロットの取得に失敗しました。"
KQ20059,"指定納期又は出荷予定日のどちらかを入力してください。"
KQ20060,"受注単価にはゼロを入力して下さい。"
KQ20061,"受注ヘッダ作成処理部品の入力パラメータの得意先コードは必須項目です。"
KQ20062,"受注ヘッダ作成処理部品の入力パラメータの入力方法は必須項目です。"
KQ20063,"受注ヘッダ作成処理部品の入力パラメータの入力方法の値が不正です。"
KQ20064,"受注ヘッダ作成処理部品の入力パラメータの更新回数は必須項目です。"
KQ20065,"受注ヘッダ作成処理部品の入力パラメータの処理区分は必須項目です。"
KQ20066,"受注ヘッダ作成処理部品の入力パラメータの処理区分の値が不正です。"
KQ20067,"受注ヘッダ作成処理部品の入力パラメータの実行区分は必須項目です。"
KQ20068,"受注ヘッダ作成処理部品の入力パラメータの実行区分の値が不正です。"
KQ20069,"受注ヘッダ作成処理部品の入力パラメータのエラー番号は必須項目です。"
KQ20070,"発行担当者コードがユーザマスタに存在しません。"
KQ20071,"発行担当部門コードが部門マスタに存在しません。"
KQ20072,"得意先コードを変更することはできません。"
KQ20073,"請求先コードを変更することはできません。"
KQ20074,"伝票区分を変更することはできません。"
KQ20075,"入力方法を変更することはできません。"
KQ20076,"受注明細情報が存在しません。"
KQ20077,"受注明細情報が存在しているため、受注ヘッダを削除できません。"
KQ20078,"対象データ11件以上存在しているため、この画面では変更できません。"
KQ20079,"受注ヘッダ作成処理に失敗しました。"
KQ20080,"明細情報が受注入力で変更されているため、この画面では変更できません。"
KQ20081,"受注ヘッダ作成処理部品の入力パラメータの会社コードは必須項目です。"
KQ20082,"受注ヘッダ作成処理部品の入力パラメータの受注伝票番号は必須項目です。"
KQ20083,"受注ヘッダ作成処理部品の入力パラメータの伝票区分は必須項目です。"
KQ20084,"受注ヘッダ作成処理部品の入力パラメータの伝票区分の値が不正です。"
KQ20085,"受注ヘッダ作成処理部品の入力パラメータの自動計上区分は必須項目です。"
KQ20086,"受注ヘッダ作成処理部品の入力パラメータの自動計上区分の値が不正です。"
KQ20087,"受注ヘッダ作成処理部品の入力パラメータの受注日は必須項目です。"
KQ20088,"請求先コードが得意先マスタに存在しません。"
KQ20089,"販売所要計画取崩処理に失敗しました。"
KQ20090,"販売所要計画取崩部品の入力パラメータの会社コードは必須項目です。"
KQ20091,"販売所要計画取崩部品の入力パラメータの受注伝票番号は必須項目です。"
KQ20092,"販売所要計画取崩部品の入力パラメータの受注明細発生連番は必須項目です。"
KQ20093,"販売所要計画取崩部品の入力パラメータの分納項番は必須項目です。"
KQ20094,"販売所要計画取崩部品の入力パラメータの計画タイプは必須項目です。"
KQ20095,"販売所要計画取崩部品の入力パラメータの処理区分は必須項目です。"
KQ20096,"販売所要計画取崩部品の入力パラメータの計画タイの値が不正です。"
KQ20097,"販売所要計画取崩部品の入力パラメータの処理区分の値が不正です。"
KQ20098,"出荷計画に該当データが存在しません。"
KQ20099,"販売所要計画に該当データが存在しません。"
KQ20100,"エラー番号の採番に失敗しました。"
KQ20101,"受注伝票番号の採番に失敗しました。"
KQ20102,"受注数量にゼロ以下は指定できません。（1行目)"
KQ20103,"受注数量にゼロ以下は指定できません。（2行目)"
KQ20104,"受注数量にゼロ以下は指定できません。（3行目)"
KQ20105,"受注数量にゼロ以下は指定できません。（4行目)"
KQ20106,"受注数量にゼロ以下は指定できません。（5行目)"
KQ20107,"受注数量にゼロ以下は指定できません。（6行目)"
KQ20108,"受注数量にゼロ以下は指定できません。（7行目)"
KQ20109,"受注数量にゼロ以下は指定できません。（8行目)"
KQ20110,"受注数量にゼロ以下は指定できません。（9行目)"
KQ20111,"受注数量にゼロ以下は指定できません。（10行目)"
KQ20112,"受注単価にはゼロを入力して下さい。(1行目)"
KQ20113,"受注単価にはゼロを入力して下さい。(2行目)"
KQ20114,"受注単価にはゼロを入力して下さい。(3行目)"
KQ20115,"受注単価にはゼロを入力して下さい。(4行目)"
KQ20116,"受注単価にはゼロを入力して下さい。(5行目)"
KQ20117,"受注単価にはゼロを入力して下さい。(6行目)"
KQ20118,"受注単価にはゼロを入力して下さい。(7行目)"
KQ20119,"受注単価にはゼロを入力して下さい。(8行目)"
KQ20120,"受注単価にはゼロを入力して下さい。(9行目)"
KQ20121,"受注単価にはゼロを入力して下さい。(10行目)"
KQ20122,"受注明細作成部品の入力パラメータのエラー番号は必須項目です。"
KQ20123,"受注明細作成部品の入力パラメータの会社コードは必須項目です。"
KQ20124,"受注明細作成部品の入力パラメータの処理区分は必須項目です。"
KQ20125,"受注明細作成部品の入力パラメータの処理区分の値が不正です。"
KQ20126,"受注明細作成部品の入力パラメータの実行区分は必須項目です。"
KQ20127,"受注明細作成部品の入力パラメータの実行区分の値が不正です。"
KQ20128,"受注明細作成部品の入力パラメータの受注伝票番号は必須項目です。"
KQ20129,"受注明細作成部品の入力パラメータの受注明細行番号は必須項目です。"
KQ20130,"受注明細作成部品の入力パラメータの受注明細発生連番は必須項目です。"
KQ20131,"受注明細作成部品の入力パラメータの伝票区分は必須項目です。"
KQ20132,"受注明細作成部品の入力パラメータの伝票区分の値が不正です。"
KQ20133,"受注明細作成部品の入力パラメータの自動計上区分は必須項目です。"
KQ20134,"受注明細作成部品の入力パラメータの自動計上区分の値が不正です。"
KQ20135,"受注明細作成部品の入力パラメータの営業担当部門コードは必須項目です。"
KQ20136,"受注明細作成部品の入力パラメータの営業担当者コードは必須項目です。"
KQ20137,"受注明細作成部品の入力パラメータの発行担当者部門コードは必須項目です。"
KQ20138,"受注明細作成部品の入力パラメータの発行担当者コードは必須項目です。"
KQ20139,"受注明細作成部品の入力パラメータの得意先コードは必須項目です。"
KQ20140,"受注明細作成部品の入力パラメータの納品場所コードは必須項目です。"
KQ20141,"受注明細作成部品の入力パラメータの出荷倉庫コードは必須項目です。"
KQ20142,"受注明細作成部品の入力パラメータの品目番号は必須項目です。"
